"Reference","Value","Footprint","Datasheet","Qty","DNP"
"C1,C5,C12","10nF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","3",""
"C2,C7","100uF","Capacitor_SMD:CP_Elec_3x5.3","~","2",""
"C3,C13","100uF","Capacitor_SMD:CP_Elec_3x5.3","~","2","DNP"
"C4","100nF","Capacitor_SMD:C_0805_2012Metric","~","1",""
"C6,C11","10nF","Capacitor_SMD:C_0805_2012Metric","~","2",""
"C8","1nF","Capacitor_SMD:C_0805_2012Metric","~","1",""
"C9,C10","47uF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","2",""
"C14","27nF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","1",""
"D1","BZV55C30","Diode_SMD:D_MiniMELF","https://assets.nexperia.com/documents/data-sheet/BZV55_SER.pdf","1",""
"D32","BAT54SW","Package_TO_SOT_SMD:SOT-323_SC-70","https://assets.nexperia.com/documents/data-sheet/BAT54W_SER.pdf","1",""
"J1","dcConn","Connector_Wire:SolderWire-0.1sqmm_1x02_P3.6mm_D0.4mm_OD1mm","~","1",""
"J2","gateConn","Connector_Wire:SolderWire-0.1sqmm_1x02_P3.6mm_D0.4mm_OD1mm","~","1",""
"J3","drainConn","Connector_Wire:SolderWire-0.1sqmm_1x02_P3.6mm_D0.4mm_OD1mm","~","1",""
"JP1","OSC_switch","Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm","~","1",""
"Q1","AONS66920","AONS66920:TRANS_AONS66920","","1",""
"R1,R2,R5,R7,R9","100k","Resistor_SMD:R_0805_2012Metric","~","5",""
"R3","62k","Resistor_SMD:R_0805_2012Metric","~","1",""
"R4","10k","Resistor_SMD:R_0805_2012Metric","~","1",""
"R6","27k","Resistor_SMD:R_0805_2012Metric","~","1",""
"R8","0.027","Resistor_SMD:R_0805_2012Metric","~","1",""
"RV1","200k","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical","~","1",""
"TP1,TP2,TP4,TP5","TestPoint","TestPoint:TestPoint_Pad_D1.5mm","~","4",""
"TP3","~","TestPoint:TestPoint_Pad_D1.5mm","~","1",""
"U1","LDO40LPURY","Package_DFN_QFN:DFN-6-1EP_3x3mm_P0.95mm_EP1.7x2.6mm","https://www.st.com/resource/en/datasheet/ldo40l.pdf","1",""
"U2","LM2662MX_NOPB","LM2662MX_NOPB:SOIC127P599X175-8N","","1",""
"U3","LT4256-1CS8","LT4256-1CS8:SO-8_S","","1",""
"U4","LM324","LM324DRG3:SOIC127P600X175-14N","http://www.ti.com/lit/ds/symlink/lm2902-n.pdf","1",""
